Section,Action,File/Details
Audit Files,"List all files/modules related to Caption Creator, Script Generator, and Visual Studio",Frontend: client/client/src/components/Studios/ChatStudio.tsx; client/client/src/components/Studios/CaptionsStudio.tsx; client/client/src/components/Studios/VisualsStudio.tsx; client/client/src/components/Studios/StrategyStudio.tsx. Search for script references under components/Studios.
Audit Files,"Mark which should be deleted, refactored, or kept",Delete: client/client/src/components/Studios/CaptionsStudio.tsx and its backend prompts in server/contentPrompts.ts; client/client/src/components/Studios/StrategyStudio.tsx. Refactor: client/client/src/components/Studios/VisualsStudio.tsx and client/client/src/components/Studios/ChatStudio.tsx (extract & relocate). Keep: client/client/src/components/Studios/FilterLibrary.tsx; client/client/src/components/Studios/PoseCoach.tsx; server/sandraAI.ts; server/poseCoachAI.ts.
Audit Files,Identify where PoseCoach.tsx and ChatStudio.tsx currently reside; plan relocation,Current: client/client/src/components/Studios/PoseCoach.tsx; client/client/src/components/Studios/ChatStudio.tsx. New: move to client/client/src/pages/PoseCoach/index.tsx and client/client/src/pages/SandraAI/index.tsx. Update routes in client/client/src/App.tsx.
Immediate Fixes,Fix swipe gesture logic in Visual Studio (mobile),"Modify client/client/src/components/Studios/VisualsStudio.tsx: update touch handlers, add stopPropagation to preset button taps, ensure swipe works correctly."
Immediate Fixes,Fix 'Save Edited Photo' bug: edited image isn’t saved,"Modify client/client/src/components/Studios/VisualsStudio.tsx: ensure handleSaveImage() uses stageRef.current.toDataURL() after filters, remove canvas reset logic, test saving edited image."
Content Generation Engine Refactor,Remove old 'Becoming HER' 6-step prompt logic; replace with 3-step 'Story Arc',Frontend: delete client/client/src/components/Studios/CaptionsStudio.tsx; remove references in VisualsStudio. Backend: delete 6-step templates in server/contentPrompts.ts; create server/storyArcAI.ts with generateStoryArc function.
Content Generation Engine Refactor,Enforce 20+ character validation on story input,"Modify client/client/src/components/Studios/VisualsStudio.tsx: add length check in handler, show error if <20 characters."
Content Generation Engine Refactor,Fine-tune AI prompts for Sandra’s voice + emojis,Backend: create server/utils/promptFormatter.ts with formatWithSandraTone; wrap prompts in server/storyArcAI.ts and server/sandraAI.ts.
Subpage Reorganization,Move PoseCoach.tsx into its own page and update routes,Move from client/client/src/components/Studios/PoseCoach.tsx to client/client/src/pages/PoseCoach/index.tsx; update import and route in client/client/src/App.tsx.
Subpage Reorganization,Move ChatStudio.tsx into its own page,Move from client/client/src/components/Studios/ChatStudio.tsx to client/client/src/pages/SandraAI/index.tsx; update import and route in client/client/src/App.tsx.
Starter & Pro Experiences,Build StarterKit module with 3 AI workbooks,"Create client/client/src/modules/StarterKit/ with StarterKit.tsx, workbooks/StoryPromptsWorkbook.tsx, CaptionFormulaWorkbook.tsx, ConfidenceExercisesWorkbook.tsx. Backend: server/workbookAI.ts with generateStoryPrompts, generateCaptionFormulas, generateConfidenceExercises; routes in server/routes.ts."
Starter & Pro Experiences,Lock StarterKit behind login,Wrap route for /starter-kit in auth check in client/client/src/App.tsx.
Starter & Pro Experiences,Create BrandedLab module structure,"Create client/client/src/modules/BrandedLab/ with BrandedLab.tsx, BrandPlanWorkbook.tsx, BrandAssetsGenerator.tsx. Backend: server/branding.ts with generateBrandPlan, generateBrandAssets; routes in server/routes.ts."
Starter & Pro Experiences,Implement BrandPlanWorkbook UI,client/client/src/modules/BrandedLab/BrandPlanWorkbook.tsx; calls /api/branding/generateBrandPlan.
Starter & Pro Experiences,Build BrandAssetsGenerator,client/client/src/modules/BrandedLab/BrandAssetsGenerator.tsx; calls /api/branding/generateBrandAssets.
SELFIE PRO Membership,Create MonthlyWorkbook component,client/client/src/modules/Pro/Workbooks/MonthlyWorkbook.tsx; calls /api/proWorkbooks/getCurrentWorkbook and /api/proWorkbooks/markTaskDone.
